"","crew_id","rank","position","division","sub_division","gender","name","duty_shift","shift_team","starfleet_gpa","perseverance_score","week","productivity"
"1",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,1,44.6715982802998
"2",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,2,46.9837261090094
"3",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,3,48.4618986922266
"4",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,4,45.9678975959873
"5",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,5,48.3716354551465
"6",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,6,47.0559143808674
"7",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,7,48.1301235641333
"8",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,8,48.0518729476473
"9",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,9,47.9313306496424
"10",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,10,51.1122760084428
"11",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,11,51.6715714865626
"12",42127,"Captain","Captain","Command","Command","Masculine","John Santistevan","Alpha","Team 1",7.66,7.2,12,50.6728436865702
"13",42013,"Chief Petty Officer","Enigneering Technician","Operations","Engineering","Feminine","Alexandria Moore","Beta","Team 2",6.88,7.26,1,32.0564756311636
"14",42013,"Chief Petty Officer","Enigneering Technician","Operations","Engineering","Feminine","Alexandria Moore","Beta","Team 2",6.88,7.26,2,32.4629953949388
"15",42013,"Chief Petty Officer","Enigneering Technician","Operations","Engineering","Feminine","Alexandria Moore","Beta","Team 2",6.88,7.26,3,31.7011472921067
"16",42013,"Chief Petty Officer","Enigneering Technician","Operations","Engineering","Feminine","Alexandria Moore","Beta","Team 2",6.88,7.26,4,31.0790560015861
"17",42013,"Chief Petty Officer","Enigneering Technician","Operations","Engineering","Feminine","Alexandria Moore","Beta","Team 2",6.88,7.26,5,31.0640133442323
"18",42013,"Chief Petty Officer","Enigneering Technician","Operations","Engineering","Feminine","Alexandria Moore","Beta","Team 2",6.88,7.26,6,31.7109392748188
"19",42013,"Chief Petty Officer","Enigneering Technician","Operations","Engineering","Feminine","Alexandria Moore","Beta","Team 2",6.88,7.26,7,31.2423737454305
"20",42013,"Chief Petty Officer","Enigneering Technician","Operations","Engineering","Feminine","Alexandria Moore","Beta","Team 2",6.88,7.26,8,32.6715093640609
